AccusedId,Qid,year,latitude,longitude
A/EGD/2506,Q2424554,1648,56.0554,-3.6293
A/EGD/2509,Q211950,1649,56.07138889,-3.461666667
A/EGD/2514,Q211950,1649,56.07138889,-3.461666667
A/EGD/2516,Q1010422,1649,56.03333333,-3.383333333
A/EGD/2517,Q1010422,1649,56.03333333,-3.383333333
A/EGD/621,Q5454932,1629,55.9463,-3.0583
A/EGD/622,Q5454932,1629,55.9463,-3.0583
A/EGD/625,Q1011507,1629,55.65,-3.18
A/EGD/626,Q7835684,1629,55.6,-3.06667
A/EGD/628,Q1011845,1629,55.7526,-3.3554
A/EGD/629,Q1011845,1629,55.7526,-3.3554
A/EGD/631,Q1011507,1629,55.65,-3.18
A/EGD/632,Q1011507,1619,55.65,-3.18
A/EGD/633,Q1011507,1629,55.65,-3.18
A/EGD/634,Q1011507,1629,55.65,-3.18
A/EGD/635,Q1011507,1629,55.65,-3.18
A/EGD/636,Q1011507,1629,55.65,-3.18
A/EGD/637,Q1011845,1629,55.7526,-3.3554
A/EGD/638,Q1011507,1629,55.65,-3.18
A/EGD/639,Q1011507,1629,55.65,-3.18
A/EGD/640,Q7242055,1630,55.9597,-2.961
A/EGD/642,Q1011845,1629,55.7526,-3.3554
A/EGD/643,Q1010316,1629,55.6184,-3.05901
A/EGD/644,Q1011507,1629,55.65,-3.18
A/JO/3084,Q1020251,1649,55.947,-4.923
A/JO/3085,Q219530,1677,56.231,-5.073
A/JO/3086,Q1818828,1662,55.83333333,-5.05
A/JO/3105,Q1013827,1662,55.65,-4.7
A/JO/3152,Q691685,1597,56.11073056,-3.167369444
A/JO/3153,Q691685,1597,56.11073056,-3.167369444
A/JO/3155,Q6407953,1650,56.189,-4.061
A/JO/3192,Q1020220,1577,57.8118,-4.0567
A/JO/3193,Q1020220,1577,57.8118,-4.0567
A/JO/3194,Q1020220,1577,57.8118,-4.0567
A/JO/3195,Q1020220,1577,57.8118,-4.0567
A/JO/3196,Q1020220,1577,57.8118,-4.0567
A/JO/3197,Q1020220,1577,57.8118,-4.0567
A/LA/2544,Q182923,1597,56.11944444,-3.935833333
A/LA/2546,Q654216,1587,55.46388889,-4.627777778
A/LA/2548,Q45848,1620,56.73,-2.655277778
A/LA/2549,Q1010422,1621,56.03333333,-3.383333333
A/LA/2550,Q1016911,1624,55.97527778,-3.610555556
A/EGD/2518,Q1010422,1649,56.03333333,-3.383333333
A/EGD/2520,Q2014221,1649,56.0528,-3.3021
A/EGD/2521,Q2014221,1649,56.0528,-3.3021
A/EGD/2522,Q211950,1649,56.07138889,-3.461666667
A/EGD/2523,Q2424554,1649,56.0554,-3.6293
A/EGD/2526,Q211950,1628,56.07138889,-3.461666667
A/EGD/2527,Q211950,1628,56.07138889,-3.461666667
A/EGD/2528,Q211950,1628,56.07138889,-3.461666667
A/EGD/2529,Q3995788,1704,56.05,-3.55
A/EGD/2530,Q3995788,1704,56.05,-3.55
A/EGD/2531,Q3995788,1704,56.05,-3.55
A/EGD/2533,Q1011963,1651,56.206,-2.76658
A/EGD/2535,Q239193,1655,55.95,-3.4
A/EGD/256,Q640073,1658,55.6432,-4.8097
A/EGD/261,Q640073,1651,55.6432,-4.8097
A/EGD/262,Q654216,1651,55.46388889,-4.627777778
A/EGD/266,Q654216,1658,55.46388889,-4.627777778
A/EGD/272,Q1010098,1658,56.1091,-3.74652
A/EGD/273,Q1010098,1658,56.1091,-3.74652
A/EGD/275,Q1010098,1658,56.1091,-3.74652
A/EGD/276,Q1010098,1658,56.1091,-3.74652
A/EGD/278,Q1010098,1658,56.1091,-3.74652
A/EGD/280,Q1009331,1658,56.11666667,-3.8
A/EGD/281,Q1009331,1658,56.11666667,-3.8
A/EGD/282,Q1009331,1658,56.11666667,-3.8
A/EGD/283,Q1009331,1658,56.11666667,-3.8
A/EGD/284,Q1009331,1658,56.11666667,-3.8
A/EGD/285,Q1009331,1658,56.11666667,-3.8
A/EGD/286,Q1009331,1658,56.11666667,-3.8
A/EGD/288,Q1009331,1658,56.11666667,-3.8
A/EGD/293,Q7607936,1659,55.95,-2.6
A/EGD/296,Q971957,1658,56.1354,-3.83641
A/EGD/297,Q182923,1659,56.11944444,-3.935833333
A/EGD/300,Q7607936,1658,55.95,-2.6
A/EGD/302,Q7607936,1659,55.95,-2.6
A/EGD/304,Q1020227,1659,56.127,-4.173
A/EGD/305,Q182923,1658,56.11944444,-3.935833333
A/EGD/306,Q182923,1659,56.11944444,-3.935833333
A/EGD/307,Q7607936,1659,55.95,-2.6
A/EGD/308,Q7607936,1659,55.95,-2.6
A/EGD/309,Q1714424,1659,55.5667,-2.4667
A/EGD/312,Q1011336,1659,55.9447,-2.95417
A/EGD/313,Q1011336,1659,55.9447,-2.95417
A/EGD/316,Q1011336,1659,55.9447,-2.95417
A/EGD/319,Q1011336,1659,55.9447,-2.95417
A/EGD/321,Q7242055,1659,55.9597,-2.961
A/EGD/322,Q7242055,1659,55.9597,-2.961
A/EGD/323,Q7242055,1659,55.9597,-2.961
A/EGD/325,Q1011336,1659,55.9447,-2.95417
A/EGD/326,Q1011336,1659,55.9447,-2.95417
